Timestamp;Temperature;Humid;AQ_value
1638039188.87582;24.0;32.0;375
1638039190.1685102;24.0;30.0;371
1638039191.462707;24.0;30.0;372
1638039192.7579823;24.0;30.0;372
1638039194.0507495;24.0;30.0;371
1638039195.3492749;24.0;30.0;371
1638039196.646062;25.0;30.0;371
1638039197.9386609;25.0;30.0;371
1638039199.2333024;25.0;30.0;371
1638039200.5375826;25.0;30.0;371
1638039201.8316708;25.0;30.0;371
1638039203.1228473;25.0;29.0;370
1638039204.419034;25.0;29.0;370
1638039205.718456;25.0;29.0;370
1638039207.0160482;25.0;29.0;370
1638039208.312595;25.0;29.0;370
1638039209.611528;25.0;29.0;369
1638039210.9106398;25.0;29.0;370
1638039212.209551;25.0;30.0;370
1638039213.5091233;25.0;31.0;370
1638039214.8072968;25.0;31.0;370
1638039216.103618;25.0;31.0;370
1638039217.3993359;25.0;31.0;370
1638039218.7105558;25.0;31.0;369
1638039220.011634;25.0;31.0;370
1638039221.311716;25.0;30.0;370
1638039222.6072607;25.0;30.0;370
1638039223.9015367;25.0;30.0;370
1638039225.1951473;25.0;30.0;370
1638039226.4949048;25.0;30.0;370
1638039227.7876587;25.0;30.0;370
1638039229.080547;25.0;30.0;369
1638039230.3733041;25.0;30.0;370
1638039231.6681352;25.0;29.0;370
1638039232.9638422;25.0;29.0;370
1638039234.257093;25.0;29.0;369
1638039235.5502079;25.0;29.0;370
1638039236.8455532;25.0;29.0;369
1638039238.149222;25.0;29.0;369
1638039239.4445167;25.0;29.0;369
1638039240.7397618;25.0;29.0;369
1638039242.0363078;25.0;29.0;369
1638039243.3301647;25.0;29.0;369
1638039244.6253946;25.0;28.0;369
1638039245.9224374;25.0;28.0;368
1638039247.2155128;25.0;28.0;369
1638039248.5090637;25.0;28.0;369
1638039249.8058622;25.0;29.0;368
1638039251.1020982;25.0;29.0;368
1638039252.4048352;25.0;28.0;369
1638039253.7035604;25.0;29.0;368
1638039255.000721;25.0;28.0;369
1638039256.2987385;25.0;29.0;368
Timestamp;Temperature;Humid;AQ_value
2021-11-27 19:55:45;25.0;29.0;373
2021-11-27 19:55:47;25.0;30.0;369
2021-11-27 19:55:48;25.0;30.0;369
2021-11-27 19:55:49;25.0;30.0;369
2021-11-27 19:55:51;25.0;30.0;369
2021-11-27 19:55:52;25.0;30.0;369
2021-11-27 19:55:53;25.0;30.0;368
2021-11-27 19:55:55;25.0;30.0;368
2021-11-27 19:55:56;25.0;29.0;368
2021-11-27 19:55:57;25.0;29.0;367
2021-11-27 19:55:58;25.0;29.0;367
2021-11-27 19:56:00;25.0;29.0;367
2021-11-27 19:56:01;25.0;29.0;367
2021-11-27 19:56:02;25.0;29.0;366
2021-11-27 19:56:04;25.0;29.0;367
2021-11-27 19:56:05;25.0;29.0;366
2021-11-27 19:56:06;25.0;29.0;369
2021-11-27 19:56:08;25.0;29.0;368
2021-11-27 19:56:09;25.0;29.0;369
2021-11-27 19:56:10;25.0;30.0;369
2021-11-27 19:56:11;25.0;30.0;368
Timestamp;Temperature;Humid;AQ_value;Sound_value
2021-11-28 14:21:26;21.0;36.0;348;114
2021-11-28 14:21:28;22.0;35.0;311;0
2021-11-28 14:21:29;22.0;35.0;284;0
2021-11-28 14:21:30;22.0;35.0;264;0
2021-11-28 14:21:32;22.0;35.0;249;0
2021-11-28 14:21:33;22.0;35.0;239;0
2021-11-28 14:21:34;22.0;35.0;232;0
2021-11-28 14:21:35;22.0;35.0;226;0
2021-11-28 14:21:37;22.0;35.0;224;0
2021-11-28 14:21:38;22.0;35.0;221;0
2021-11-28 14:21:39;22.0;35.0;219;0
2021-11-28 14:21:41;22.0;35.0;218;0
2021-11-28 14:21:42;22.0;35.0;234;262
2021-11-28 14:21:43;22.0;35.0;230;0
2021-11-28 14:21:45;22.0;35.0;225;0
2021-11-28 14:21:46;22.0;35.0;226;0
2021-11-28 14:21:47;22.0;34.0;223;753
2021-11-28 14:21:49;22.0;35.0;221;149
2021-11-28 14:21:50;22.0;34.0;228;0
2021-11-28 14:21:51;22.0;34.0;224;492
2021-11-28 14:21:52;22.0;34.0;221;0
2021-11-28 14:21:54;22.0;34.0;220;1
2021-11-28 14:21:55;22.0;34.0;218;754
2021-11-28 14:21:56;22.0;34.0;217;0
Timestamp;Temperature;Humid;AQ_value;Sound_value
Timestamp;Temperature;Humid;AQ_value;Sound_value
2021-11-28 14:22:30;22.0;34.0;338;1
2021-11-28 14:22:31;22.0;34.0;314;128
2021-11-28 14:22:32;22.0;34.0;286;1
2021-11-28 14:22:34;22.0;34.0;265;1
2021-11-28 14:22:35;22.0;34.0;251;1
2021-11-28 14:22:36;22.0;35.0;240;1
2021-11-28 14:22:37;22.0;34.0;236;701
2021-11-28 14:22:39;22.0;34.0;230;58
2021-11-28 14:22:40;22.0;34.0;225;124
2021-11-28 14:22:41;22.0;34.0;223;253
2021-11-28 14:22:43;22.0;34.0;221;1
2021-11-28 14:22:44;22.0;34.0;220;68
